time,Current [nA],Temperature [C]
2.001433,-0.099569,19.100000
3.901375,-0.064826,19.100000
5.245969,-0.072157,19.100000
6.601702,-0.104906,19.100000
7.947570,-0.079748,19.100000
9.099613,-0.045116,19.100000
10.490399,-0.060349,19.100000
11.899369,-0.130368,19.100000
13.400891,-0.105218,19.100000
15.897816,-0.103238,19.100000
17.238661,-0.107063,19.100000
18.599075,-0.106366,19.100000
20.051928,-0.122563,19.100000
21.397043,-0.109717,19.100000
22.742106,-0.090948,19.100000
24.101151,-0.096270,19.100000
25.444280,-0.130976,19.200000
26.802316,-0.067213,19.100000
28.195565,-0.101007,19.100000
29.551583,-0.146039,19.100000
30.702072,-0.070801,19.100000
32.639578,-0.082490,19.100000
34.047578,-0.099732,19.100000
35.390235,-0.079978,19.100000
36.750693,-0.060482,19.100000
38.201737,-0.096715,19.100000
39.549410,-0.093024,19.100000
40.893858,-0.075515,19.100000
42.251837,-0.102245,19.100000
43.595575,-0.120354,19.100000
44.951844,-0.071942,19.100000
46.102066,-0.094506,19.100000
47.449392,-0.127648,19.100000
48.793561,-0.116529,19.100000
50.152056,-0.071735,19.100000
51.495278,-0.098049,19.100000
52.851585,-0.103824,19.100000
54.198650,-0.036569,19.100000
55.540269,-0.082691,19.100000
57.154632,-0.080252,19.100000
58.500864,-0.084055,19.100000
59.891731,-0.101029,19.100000
61.250681,-0.106419,19.100000
62.593820,-0.093936,19.100000
63.951361,-0.122089,19.100000
65.501621,-0.075605,19.100000
67.103746,-0.110414,19.100000
68.446675,-0.128635,19.100000
69.791152,-0.092972,19.100000
71.198831,-0.069022,19.100000
72.540481,-0.092595,19.100000
73.901269,-0.127597,19.100000
75.293756,-0.111422,19.100000
76.651371,-0.125536,19.100000
77.994336,-0.103306,19.100000
79.354672,-0.120073,19.100000
80.697723,-0.068333,19.100000
82.101854,-0.120629,19.100000
83.497211,-0.074715,19.100000
84.852802,-0.058918,19.100000
86.000800,-0.079140,19.100000
87.350409,-0.088962,19.100000
88.741385,-0.087346,19.100000
90.101277,-0.100577,19.100000
91.698770,-0.068918,19.100000
93.252277,-0.095321,19.100000
94.596381,-0.089725,19.100000
95.951863,-0.077509,19.100000
97.297209,-0.070296,19.100000
98.801173,-0.075974,19.100000
100.143599,-0.078910,19.100000
101.851654,-0.090829,19.100000
103.550687,-0.104587,19.100000
104.894453,-0.103853,19.100000
106.301468,-0.119034,19.100000
107.645119,-0.106744,19.100000
109.051672,-0.085514,19.100000
110.394996,-0.138574,19.100000
112.251548,-0.110235,19.100000
114.346367,-0.094076,19.100000
115.945824,-0.095692,19.100000
117.302598,-0.079503,19.100000
118.649532,-0.155526,19.100000
120.051758,-0.076612,19.100000
122.401900,-0.069547,19.100000
123.893176,-0.076923,19.100000
125.349668,-0.104706,19.100000
126.899135,-0.100295,19.100000
128.352809,-0.072809,19.100000
129.699664,-0.088487,19.100000
131.103279,-0.130983,19.100000
132.447502,-0.118856,19.100000
133.902452,-0.114097,19.100000
135.505249,-0.055916,19.100000
137.340938,-0.093060,19.100000
138.953429,-0.114045,19.100000
140.301244,-0.122600,19.100000
141.693024,-0.097486,19.100000
143.148962,-0.124446,19.100000
144.551702,-0.098539,19.100000
145.659745,-0.120858,19.100000
146.953592,-0.064077,19.100000
148.297657,-0.051765,19.100000
149.753090,-0.101511,19.100000
151.096261,-0.067888,19.100000
152.452551,-0.083484,19.100000
154.294437,-0.091653,19.100000
155.652698,-0.045005,19.100000
156.995745,-0.060497,19.100000
158.197864,-0.076850,19.100000
160.304894,-0.108880,19.100000
161.904882,-0.053811,19.100000
163.250540,-0.150761,19.100000
164.594119,-0.091075,19.100000
166.194585,-0.151273,19.100000
167.551857,-0.087413,19.100000
168.895728,-0.112964,19.100000
170.303311,-0.130836,19.100000
171.646605,-0.129301,19.100000
173.003094,-0.088280,19.100000
174.203973,-0.112467,19.100000
175.549228,-0.076360,19.100000
176.891265,-0.144831,19.100000
178.699393,-0.024761,19.100000
180.794235,-0.137032,19.100000
182.152657,-0.133296,19.100000
183.591492,-0.124216,19.100000
185.048344,-0.067353,19.100000
186.901183,-0.080489,19.100000
188.244891,-0.082319,19.100000
189.651672,-0.133000,19.100000
191.045463,-0.126010,19.100000
192.451612,-0.147455,19.100000
193.602460,-0.074870,19.100000
194.946602,-0.096619,19.100000
196.302654,-0.073892,19.100000
197.746744,-0.088554,19.100000
199.101846,-0.090296,19.100000
200.251317,-0.116736,19.100000
202.094935,-0.079681,19.100000
203.549303,-0.055842,19.100000
204.941598,-0.084988,19.100000
206.349035,-0.137054,19.100000
207.691534,-0.049229,19.100000
209.051370,-0.079940,19.100000
210.394965,-0.101629,19.100000
211.994520,-0.090621,19.100000
213.593480,-0.092022,19.100000
215.000684,-0.109219,19.100000
216.392226,-0.137358,19.100000
217.894975,-0.118115,19.100000
219.303277,-0.111792,19.100000
220.645467,-0.114875,19.100000
222.501213,-0.045167,19.100000
223.891378,-0.104780,19.100000
225.299742,-0.116136,19.100000
226.691008,-0.081667,19.100000
228.242424,-0.126403,19.100000
230.849207,-0.103957,19.100000
231.999565,-0.070801,19.100000
233.343648,-0.064997,19.100000
234.702591,-0.101385,19.100000
235.852259,-0.074381,19.100000
237.198061,-0.089169,19.100000
238.700438,-0.105062,19.100000
240.091674,-0.094380,19.100000
242.551567,-0.078717,19.100000
243.899517,-0.073743,19.100000
245.302484,-0.056969,19.100000
246.448772,-0.089221,19.100000
248.791493,-0.076694,19.100000
250.647494,-0.103520,19.100000
252.101278,-0.076968,19.100000
253.447009,-0.031677,19.100000
254.801602,-0.115084,19.100000
256.149315,-0.084062,19.100000
257.651492,-0.091075,19.100000
258.802588,-0.115944,19.100000
260.642563,-0.084685,19.100000
262.001855,-0.108176,19.100000
263.696867,-0.081194,19.100000
265.041809,-0.115351,19.100000
266.448031,-0.090482,19.100000
267.852892,-0.124913,19.100000
270.303443,-0.099244,19.100000
271.451426,-0.096916,19.100000
273.053284,-0.113979,19.100000
274.491588,-0.103439,19.100000
275.851410,-0.123453,19.100000
277.193902,-0.090644,19.100000
278.600493,-0.135409,19.100000
280.041853,-0.100051,19.100000
281.703050,-0.072772,19.100000
283.049354,-0.103868,19.100000
284.451674,-0.121770,19.100000
285.797690,-0.099161,19.100000
287.142284,-0.113786,19.100000
288.549672,-0.067583,19.100000
289.893169,-0.157217,19.100000
291.253442,-0.049007,19.100000
292.596223,-0.079362,19.100000
294.195765,-0.108827,19.100000
295.552790,-0.105158,19.100000
296.898380,-0.098398,19.100000
298.241673,-0.075041,19.100000
299.647410,-0.096396,19.100000
301.151823,-0.076345,19.100000
302.494937,-0.113090,19.100000
303.902277,-0.132696,19.100000
305.244729,-0.113712,19.100000
306.602843,-0.078540,19.100000
307.948332,-0.064730,19.100000
309.353205,-0.081275,19.100000
310.699998,-0.089303,19.100000
312.042367,-0.099258,19.100000
313.401924,-0.089985,19.100000
314.793918,-0.057110,19.100000
316.153657,-0.066687,19.100000
317.496023,-0.046895,19.100000
319.142551,-0.097768,19.100000
320.551634,-0.111059,19.100000
321.942008,-0.091459,19.100000
323.446133,-0.081186,19.100000
324.802124,-0.118708,19.100000
326.351571,-0.079718,19.100000
327.843037,-0.081460,19.100000
329.249531,-0.064796,19.100000
330.848866,-0.090088,19.100000
332.192865,-0.041810,19.100000
333.647520,-0.061164,19.100000
335.052207,-0.105358,19.100000
336.398485,-0.104780,19.100000
337.742192,-0.094521,19.100000
338.942073,-0.096433,19.100000
340.301636,-0.118753,19.200000
341.645222,-0.088376,19.200000
343.002411,-0.105869,19.200000
344.347596,-0.126024,19.100000
345.752600,-0.103727,19.200000
347.146002,-0.096967,19.200000
348.502993,-0.117426,19.100000
349.847581,-0.109227,19.100000
351.192055,-0.073484,19.100000
352.552542,-0.125720,19.100000
353.895340,-0.079451,19.100000
355.253204,-0.122066,19.100000
356.693654,-0.049697,19.100000
358.053354,-0.111851,19.100000
359.394907,-0.094076,19.100000
360.752923,-0.100421,19.100000
362.194880,-0.086115,19.100000
363.602818,-0.075581,19.100000
364.945248,-0.110569,19.100000
366.352276,-0.073899,19.100000
367.745000,-0.100577,19.100000
368.895809,-0.072320,19.100000
370.253351,-0.078079,19.100000
371.598434,-0.131613,19.100000
372.941859,-0.096174,19.100000
374.554427,-0.101904,19.100000
375.996629,-0.139056,19.100000
377.147871,-0.098509,19.100000
378.552716,-0.110161,19.100000
379.947285,-0.082031,19.100000
382.649494,-0.082594,19.100000
384.103564,-0.129360,19.100000
385.544044,-0.087234,19.100000
387.154907,-0.056546,19.100000
388.501339,-0.085463,19.100000
390.055233,-0.117812,19.100000
393.952252,-0.087554,19.100000
395.555553,-0.079325,19.100000
398.754246,-0.099577,19.100000
400.354580,-0.068562,19.100000
402.305568,-0.134571,19.100000
403.745004,-0.090318,19.100000
405.647332,-0.106233,19.100000
407.002563,-0.107419,19.100000
408.494044,-0.064166,19.100000
411.003426,-0.106403,19.100000
412.603333,-0.094587,19.100000
413.851998,-0.118982,19.100000
415.242792,-0.102511,19.100000
417.001735,-0.094305,19.100000
418.551985,-0.077212,19.100000
419.703377,-0.108604,19.100000
421.095406,-0.120731,19.100000
423.156482,-0.095477,19.100000
424.550419,-0.107107,19.100000
426.003670,-0.118841,19.100000
427.397295,-0.082342,19.100000
428.752576,-0.065100,19.100000
430.099638,-0.098124,19.100000
431.491291,-0.099873,19.100000
432.643356,-0.051780,19.100000
434.002059,-0.073684,19.100000
435.502681,-0.097012,19.100000
436.848666,-0.133853,19.100000
438.351868,-0.113816,19.100000
440.751574,-0.047592,19.100000
442.094258,-0.106545,19.100000
443.453801,-0.122459,19.100000
444.797626,-0.108383,19.100000
446.154299,-0.058681,19.100000
447.500343,-0.078880,19.100000
448.843602,-0.097130,19.100000
450.249962,-0.067917,19.100000
451.654622,-0.111058,19.100000
453.096903,-0.100577,19.100000
454.744821,-0.106055,19.100000
456.151605,-0.080622,19.100000
457.750653,-0.095981,19.100000
459.094345,-0.115009,19.100000
460.453953,-0.055745,19.100000
461.844669,-0.076463,19.100000
463.205302,-0.085551,19.100000
464.803530,-0.110739,19.100000
466.146951,-0.083024,19.100000
467.504256,-0.084914,19.100000
468.897648,-0.057643,19.100000
470.352727,-0.097686,19.100000
471.696474,-0.078131,19.100000
473.053786,-0.088383,19.100000
474.448108,-0.065115,19.100000
475.902566,-0.055152,19.100000
477.246446,-0.077301,19.100000
478.397664,-0.065789,19.100000
479.803740,-0.088198,19.100000
481.145482,-0.094743,19.100000
482.503936,-0.073187,19.100000
483.703896,-0.098887,19.100000
485.096937,-0.130109,19.100000
486.454216,-0.107612,19.100000
487.800934,-0.078925,19.100000
489.203269,-0.090778,19.100000
490.900935,-0.072862,19.100000
492.404326,-0.101934,19.100000
493.747517,-0.075976,19.100000
495.091995,-0.067325,19.100000
496.290972,-0.104233,19.100000
497.442873,-0.135077,19.100000
498.802145,-0.119792,19.100000
500.401598,-0.091609,19.100000
501.553407,-0.083358,19.100000
502.703645,-0.078940,19.100000
504.046596,-0.102475,19.100000
505.391621,-0.093358,19.100000
506.750423,-0.072358,19.100000
508.141657,-0.067717,19.100000
509.501444,-0.148663,19.100000
510.894765,-0.161739,19.100000
512.252581,-0.081431,19.100000
513.641878,-0.133675,19.100000
515.254291,-0.101756,19.100000
516.649517,-0.097249,19.100000
518.052739,-0.110873,19.100000
519.751843,-0.119101,19.100000
521.142095,-0.057777,19.100000
522.550292,-0.073432,19.100000
524.403032,-0.070126,19.100000
526.354341,-0.106603,19.100000
529.251820,-0.098316,19.100000
530.898753,-0.116225,19.100000
532.497865,-0.108286,19.100000
534.353928,-0.122044,19.100000
536.144053,-0.114853,19.100000
537.647542,-0.065619,19.100000
539.054179,-0.095158,19.100000
540.602974,-0.089147,19.100000
542.444346,-0.124416,19.100000
544.105097,-0.079526,19.100000
545.898167,-0.096886,19.100000
547.303299,-0.058792,19.100000
549.241573,-0.109383,19.100000
550.650253,-0.101726,19.100000
552.051564,-0.131362,19.100000
553.448358,-0.097375,19.100000
554.802705,-0.121310,19.100000
556.198682,-0.096937,19.100000
557.542580,-0.080941,19.100000
558.996999,-0.078732,19.100000
560.453491,-0.083780,19.100000
561.892447,-0.124178,19.100000
563.298356,-0.089554,19.100000
564.641472,-0.055597,19.100000
567.345921,-0.104350,19.100000
568.703274,-0.091222,19.100000
570.653136,-0.080022,19.100000
572.191860,-0.113912,19.100000
573.803235,-0.105907,19.100000
576.097239,-0.070185,19.100000
577.452670,-0.091482,19.100000
578.843112,-0.109331,19.100000
580.444257,-0.120828,19.100000
581.803603,-0.119969,19.100000
583.242432,-0.115151,19.100000
584.395628,-0.107805,19.100000
585.753263,-0.042559,19.100000
587.353281,-0.107434,19.200000
588.742930,-0.115796,19.100000
590.103118,-0.126418,19.100000
591.654006,-0.074767,19.100000
593.301235,-0.120407,19.100000
594.752953,-0.112030,19.100000
596.148066,-0.087991,19.100000
597.299485,-0.105855,19.100000
598.900227,-0.101452,19.100000
600.242441,-0.067754,19.100000
601.602110,-0.097976,19.100000
602.945599,-0.068317,19.100000
604.305843,-0.102260,19.100000
605.647877,-0.169447,19.100000
607.003056,-0.040357,19.100000
608.351091,-0.122696,19.100000
609.695093,-0.087656,19.100000
611.053761,-0.092215,19.100000
612.397690,-0.090533,19.100000
613.755425,-0.116418,19.100000
615.100367,-0.105543,19.100000
616.443014,-0.110169,19.100000
617.802394,-0.042573,19.100000
619.144412,-0.106811,19.100000
620.505308,-0.098746,19.100000
621.896415,-0.116262,19.100000
623.495441,-0.072632,19.100000
624.854438,-0.110369,19.100000
626.199502,-0.086397,19.100000
627.554935,-0.079199,19.100000
628.900903,-0.110265,19.100000
630.243655,-0.105684,19.100000
631.604429,-0.088576,19.100000
632.948012,-0.087063,19.100000
634.305987,-0.045382,19.100000
635.452981,-0.081764,19.100000
636.802445,-0.075322,19.100000
638.143640,-0.114112,19.100000
639.754991,-0.125728,19.100000
641.152391,-0.086411,19.100000
642.553656,-0.092423,19.100000
643.998953,-0.090355,19.100000
645.352636,-0.113438,19.100000
646.700082,-0.104557,19.100000
647.851666,-0.127477,19.100000
649.303831,-0.107271,19.100000
650.650074,-0.097449,19.100000
651.801518,-0.063952,19.100000
653.146016,-0.088458,19.100000
654.599064,-0.098139,19.100000
655.944858,-0.120354,19.100000
657.447062,-0.085508,19.100000
658.804051,-0.107293,19.100000
660.694677,-0.106508,19.100000
662.306135,-0.078421,19.100000
663.843889,-0.063841,19.100000
665.203651,-0.106767,19.100000
666.354532,-0.064515,19.100000
667.794312,-0.059652,19.100000
669.153573,-0.082342,19.100000
670.497350,-0.122037,19.100000
671.022329,-0.103943,19.100000
672.490453,-0.094455,19.100000
673.035025,-0.099087,19.100000
673.209225,-0.071957,19.100000
673.420543,-0.129183,19.100000
673.625599,-0.072491,19.100000
673.834988,-0.110888,19.100000
674.033906,-0.085834,19.100000
675.294331,-0.074418,19.100000
676.640349,-0.137448,19.100000
